PID,Condition,Expert/Novice (E/N),Gender,Age Range,Pre-Survey / Q1,Q2,Q3,Task - Shape Recognition / Performance - x/4,Time spent,Task - Volume estimation / Performance - correct? (1/0),Time spent,NASA LTX Session 1 - Low cognition tasks / Q1,Q2,Q3,Q4,Q5,Q6,Shape Matching Task 1 - Easy / User Value Input / a,b,c,m,Volume,User Changed Values x times / a,b,c,m,Mesh Overlapping time,Total Time,Performance Score,Shape Matching Task 2 - Hard / User Value Input / a,b,c,m,Volume,User Changed Values x times / a,b,c,m,Mesh Overlapping time,Total Time,Performance Score,Shape Matching Task 3 - Rock Shape Matching / User Value Input / a,b,c,m,Volume,User Changed Values x times / a,b,c,m,Mesh Overlapping time,Total Time,Performance Score,NASA LTX Session 2 - Medium cognition tasks / Q1,Q2,Q3,Q4,Q5,Q6,Gripper Operation / Attempts,Total Time,Gripper Design 1 - Size Effects / Model Choice,Animation Choice,Observing Time on robot / design 1,design 2,design 3,Observing time on hand / design 1,design 2,design 3,Animation play time / design1,design 2,design 3,Total Time,Gripper Design 2 - Shape Effects / Model choice,Animation choice,Observing Time on robot / design 1,design 2,design 3,Observing time on hand / design 1,design 2,design 3,Animation play time / design 1,design 2,design3,Total Time,Gripper Design 3 - Nubs Effects / Model choice,Animation choice,Observing Time on robot / design 1,design 2,design 3,Observing time on hand / design 1,design 2,design 3,Animation play time / design 1,design 2,design 3,Total Time,NASA LTX Session 3 - High cognition tasks / Q1,Q2,Q3,Q4,Q5,Q6,Q4,Q5,T1_barr_meanF_pct,T2_barr_meanF_pct,T3_barr_meanF_pct,T1_vol_err_signed_pct,T2_vol_err_signed_pct,T3_vol_err_signed_pct
111,XR,E,M,45-54,4,3,No,4,49.00208,1,22.99084,6,5,6,14,7,6,0.5,0.7,0.8,4.4,1.873057040467571,2,2,2,3,0,88.98677,88.91090654705292,0.3,0.8,1,2.4,1.180538229367851,3,3,2,4,61.76,117.0009,89.2392950451957,0.8,0.4,0.8,4,1.659388762057315,2,1,1,1,47.54,75.00518,65.1222919487569,10,5,6,12,7,7,1,33.92791,2,2,0,8.59,0,0,4.64,0,63.95,67.21,25.78,267.11,3,3,7.67,0,7.14,11.26,0.03,5.92,13.49,17.21,24.2,241.81,2,3,0,33.82,7,0,9.97,23.67,11.82,12.06,22.21,196.25,10,6,6,12,10,7,3,No discomfort experienced,5.9800,7.5400,12.2830,19.2300,-3.9200,58.0220
112,XR,N,M,18-24,0,0,No,4,29.99643,1,14.99339,6,6,7,18,6,4,0.5,0.6,0.8,4,1.555676964428732,1,2,1,4,0,75.00484,97.78044749130746,0.3,0.8,0.8,3.2,1.131704433820083,2,2,2,4,55.82,96.99242,84.92505764721491,0.8,0.5,0.6,4.1,1.569154556115661,1,1,2,4,56.11,70.99346,68.860312652816,14,14,10,12,13,12,1,48.91842,2,2,0,6.61,0,0,7.39,0,0,2.2,0,99.89,3,1,0,0,116.26,0,0,3.65,34.13,26.46,13.22,141.44,3,3,51.11,0,29.08,3.64,0.24,5.95,0,0,26.42,99.5,17,16,16,11,15,16,3,"Mild discomfort (lasted <10 mins, did not affect task completion)",1.7200,9.0500,13.4420,-0.9700,-7.8900,49.4290
113,XR,E,M,35-44,5,3,Yes,4,29.0107,1,19.00128,8,2,2,18,3,3,0.5,0.6,0.8,4.2,1.581915525346075,0,2,1,4,22.36,59.00308,100,0.3,0.7,0.9,3.3,1.131002291978709,3,5,4,3,100.3,123.002,88.63544434329442,0.8,0.4,0.7,2.7,1.1977508950476154,2,1,2,3,35.9,56.98669,89.28698527228019,11,6,6,15,8,5,2,55.08966,2,2,0,68.32,0,0,4.13,0,0,17.72,0,166.51,2,3,0,110.44,0,0,3.5,0,10.42,8.44,32.21,183.93,3,1,0,0,79.96,0,0,2.08,8.34,11.64,11.58,115.68,14,2,8,13,7,8,1,No discomfort experienced,1.7000,4.7900,7.5170,0.7000,-7.9500,14.0610
114,XR,N,M,18-24,2,0,Yes,4,15.01173,1,11.00026,3,6,4,16,4,6,0.5,0.6,0.8,3.9,1.541430069067819,4,1,4,1,42.98,81.00044,96.58280813520297,0.3,0.7,1,2.4,1.032970950696869,4,2,2,5,76.34,90.98872,86.82572623933484,1,0.6,0.7,1.9,1.6681818002425117,2,4,5,1,16.36,61.00715,56.7076594081356,9,12,3,14,10,14,1,25.15083,2,2,0,70.85,0,0,3.18,0,0,1.78,0,90.16,1,1,26.89,0,0,2.9,0,0,19.1,11.22,0,95.35,1,3,42.38,0.03,4.74,2.85,3.94,6.26,0,0,16.47,102.89,6,4,3,12,13,7,2,"Mild discomfort (lasted <10 mins, did not affect task completion)",1.7800,8.4200,14.1030,-1.8800,-15.9300,58.8590
115,XR,N,M,18-24,1,0,Yes,4,29.99686,1,17.00138,4,0,5,17,1,0,0.5,0.6,0.8,3.6,1.493473945662541,2,2,3,5,0,148.9915,92.58084767907805,0.3,0.7,0.9,3.6,1.176110732209251,2,1,5,3,94.85,174.9949,87.57613266197066,0.7,0.4,0.5,3.4,0.8496007929731965,2,5,2,1,49.45,97.00445,84.53061660397476,10,10,10,10,11,5,1,160.7113,1,1,7.36,0,0,4.12,0.4,0,262.45,0,0,484.83,3,3,0,0,4.07,0,0,3.89,0,0,15.8,147.51,3,3,0,0,2.13,1.82,0,10.02,0,0,7.57,114.09,12,8,7,13,12,8,2,"Moderate discomfort (lasted 10-30 mins, slightly affected task completion)",2.3500,4.5700,11.0080,-4.9300,-4.2800,-19.0930
116,XR,E,M,35-44,0,0,No,4,29.01118,1,17.00848,2,7,7,19,7,8,0.5,0.6,0.7,4.8,1.440155728423968,4,3,5,1,93.45,134.9893,89.67163856732772,0.3,0.7,0.9,2.9,1.056078234236446,7,10,2,2,122.51,172.9944,90.3817450856624,0.6,0.5,0.4,5,0.8316425991065174,3,8,1,3,60.99,128.9943,75.14720200356015,12,11,13,10,14,12,2,159.6131,2,2,0,144.46,0,0,5.39,0.14,11.17,34.97,16.71,179.81,3,3,0,23.97,38.13,0,14.24,23.17,13.57,19.24,26.84,211.23,3,2,0.26,0,78.25,2.46,2.64,9,0,12.71,10.97,125.02,5,6,6,20,1,0,1,No discomfort experienced,4.2500,6.3900,12.1910,-8.3300,-14.0500,-20.8030
117,XR,N,M,35-44,0,1,No,4,33.01094,1,20.99304,13,12,3,18,9,1,0.5,0.6,0.8,4.3,1.594008305671757,2,6,1,3,37.57,121.0037,98.96999317831103,0.3,0.8,1,2.5,1.217182761759867,2,3,6,6,112.62,152.9974,91.7250317879629,0.9,0.6,0.7,1.7,1.3194707110292252,1,5,1,7,16.21,110.984,62.0732966200604,14,14,2,13,13,0,1,26.45628,2,3,0,67.32,0,0,5.67,0,0,0,26.77,189.96,3,3,7.33,0,8.03,10.5,0.35,6.71,0,0,118.68,202.69,3,3,0,1.51,10.2,2.04,4.07,11.42,0,0,21.03,96.99,14,12,0,11,12,4,1,No discomfort experienced,1.7200,7.1500,10.3920,1.4700,-0.9400,25.6520
118,XR,E,M,35-44,4,4,Yes,4,23.99459,1,16.99881,0,10,0,20,0,0,0.5,0.6,0.8,4.1,1.569154556115663,4,5,6,1,0,120.996,98.91809910402925,0.2,0.7,0.9,2.8,0.6893999522904865,2,2,2,3,0,73.00096,74.82598750185676,0.8,0.4,0.7,2.5,1.1360372443092084,6,2,2,1,73.3,85.0014,88.36319678645337,10,10,10,19,10,0,1,52.92944,2,2,0,10.97,0,0,6.39,0,0,62.63,0,163.69,1,3,272.7,0,0,3.26,0,0,100.65,84.22,45.17,314.95,3,1,0,0,239.15,0,0,6.28,76.62,51.25,75.4,267,10,10,10,10,10,0,0,"Mild discomfort (lasted <10 mins, did not affect task completion)",1.7000,35.4700,7.5630,-0.1100,-43.8900,8.1840
119,XR,E,M,45-54,5,5,Yes,4,27.99499,1,24.99813,0,0,0,0,0,0,0.5,0.7,0.8,3.4,1.699201585946392,8,7,5,4,75.4,241.0017,86.24631605472241,0.3,0.7,0.9,3.9,1.213876179390908,3,4,3,1,93.69,105.002,86.66894505345093,0.8,0.5,0.8,3.1,1.8555526309129322,1,2,1,1,29.16,47.0027,69.45338076764213,10,10,10,20,10,10,2,82.43093,2,2,0,10.3,0,0,3.11,0,0,16.09,0,175.99,2,2,0,4.61,0,0,5.42,0,0,23.51,26.85,165.25,2,3,5.9,116.98,0,8.58,9.78,8.1,0,0,59.36,183.88,20,20,20,20,19,10,0,"Mild discomfort (lasted <10 mins, did not affect task completion)",4.6500,4.6900,16.5370,8.1600,-1.2000,76.7020
120,XR,N,M,25-34,3,2,No,4,34.99515,1,54.98846,0,10,0,10,0,0,0.6,0.6,0.7,4.3,1.673708720955345,1,1,2,0,0,157.0035,89.35407792397444,0.2,0.5,0.8,4.4,0.5351591544193062,0,0,0,3,0,63.0098,61.36416386443226,0.8,0.4,0.5,2.5,0.8114551745065776,2,0,0,0,0,31.0091,79.00183765374605,10,0,10,20,10,0,1,83.44215,2,2,0,12.18,0,0,5.57,0,29.47,83.34,10.44,211.2,2,1,0,91.29,0,0,2.32,0,17.21,18.38,11.4,92.16,3,3,0,0,206.09,0,0,3.17,12.03,10.47,19.81,118.32,9,20,10,10,10,10,3,No discomfort experienced,8.0300,40.3900,13.2210,6.5400,-56.4400,-22.7260
121,XR,E,M,45-54,5,4,Yes,4,14.9929,1,10.98814,0,0,0,20,0,0,0.5,0.6,0.8,4.3,1.594008305671757,0,0,1,0,2.36,123.0082,98.96999317831103,0.3,0.7,1,2.7,1.122891464107139,1,2,3,1,182.72,282.9938,93.41125182467353,0.8,0.4,0.7,5,1.5523995183321662,1,0,0,2,120.21,129.0081,66.85593887377976,10,0,10,18,5,3,1,56.9,2,1,0,70.43,0,0,5.54,0,8.68,0,9.64,105.22,3,3,8.24,0,20.44,6.32,0.36,5.9,176.68,0,151.04,462.67,3,3,1.67,8.71,17.89,2.9,9.28,24.18,0,0,16.25,155.84,10,3,6,10,10,15,2,No discomfort experienced,1.7200,6.0600,11.0350,1.4700,-8.6100,47.8330
122,XR,E,F,55+,2,0,No,4,498.9468,1,35.01046,5,12,10,7,10,11,0.5,0.6,0.8,4,1.555676964428732,2,1,2,1,0,125.0043,97.78044749130746,0.3,0.7,0.9,3.5,1.161973984922875,3,2,2,3,0,102.9908,87.91014032892532,0.7,0.5,0.7,2.3,1.1650187888832408,1,2,1,1,0,108.9856,82.77507464719602,5,10,9,10,9,10,3,88.62025,2,2,16.62,617.53,42.31,6,13,18.9,0,43,0,352.51,3,3,0,0,242.96,0,0,5.46,0,0,19.29,126.86,3,3,0,0,26.98,0,0,3.11,0,0,15.83,64.21,11,5,10,11,10,8,3,"Severe discomfort (lasted >30 mins, significantly affected task completion or required breaks)",1.7200,4.5800,9.3130,-0.9700,-5.4300,10.9440
123,XR,N,M,35-44,2,0,Yes,4,26.99845,1,15.01267,0,10,4,15,15,16,0.5,0.7,0.8,3.9,1.798335080579123,3,5,5,3,0,93.00419,89.43645929199863,0.3,0.7,0.9,2.7,1.010602317696425,2,2,3,5,0,78.99189,91.45729496806547,0.7,0.4,0.7,4.1,1.2814762208277897,1,2,2,2,0.75,66.9891,79.87578197259599,7,13,5,18,12,5,1,56.96123,2,2,0,94.96,0,0,2.22,0,9.1,37.03,7.94,143.06,3,3,14.19,0,2.53,8.37,0,1.54,7.94,8.9,10.85,129.79,3,3,0,0,10.29,0,0,4.82,6.93,7.39,13.03,99.38,2,10,2,20,4,4,5,"Mild discomfort (lasted <10 mins, did not affect task completion)",5.2300,7.8900,8.5340,14.4800,-17.7500,22.0340
124,XR,E,F,35-44,4,0,Yes,4,41.99571,1,16.99819,5,6,3,13,6,3,0.5,0.6,0.8,3.6,1.493473945662541,3,1,3,3,94.8,160.9934,92.58084767907805,0.3,0.7,1,2.7,1.122891464107139,7,3,3,3,108.59,120.9836,93.41125182467353,0.9,0.5,0.7,2.6,1.6424308346943954,2,2,1,2,96.04,118.9922,74.66143991161731,10,9,7,9,10,9,2,86.34825,2,1,0,130.08,0,0,3.68,0,26.68,58.8,0,162.36,2,2,0,3.45,0,0,2.01,0,11.51,31.32,24.4,163.93,3,3,0,0,2.08,0,0,1.75,0,0,48.14,110.06,12,8,8,10,11,9,2,"Mild discomfort (lasted <10 mins, did not affect task completion)",2.3500,6.0600,13.4730,-4.9300,-8.6100,56.4070
125,XR,E,M,35-44,5,3,Yes,4,21.9977,1,23.00124,3,2,1,20,3,0,0.5,0.7,0.8,3.4,1.699201585946392,0,2,2,1,0,63.00692,86.24631605472241,0.3,0.8,1,3.3,1.436193386639631,1,1,2,1,38.78,49.00891,83.62202600782769,0.7,0.4,0.6,3.4,1.0195209515678356,1,3,3,2,37.95,52.98646,93.99818797380077,7,8,4,14,5,0,1,63.01316,2,2,0,11.28,0,0,7.68,0,0,33.13,0,130.49,3,2,0,0,234.68,0,0,3.28,21.08,15.83,53.04,193.09,3,1,0,0,63.73,0,0.19,5.19,7.04,17.36,11.47,86.17,10,12,12,6,12,4,2,No discomfort experienced,4.6500,7.4300,7.2550,8.1600,16.8900,-2.9120
126,XR,N,M,25-34,1,1,No,4,16.00619,1,24.99705,2,1,1,17,1,0,0.5,0.6,0.8,4.1,1.569154556115663,4,5,2,3,53.72,150.9846,98.91809910402925,0.3,0.7,0.9,2.8,1.03409992843573,3,5,1,10,113.66,145.0013,90.8989037507358,0.7,0.4,0.7,3.4,1.1894411101624751,3,2,4,1,59.88,101.0019,87.68285825586068,12,6,1,13,10,0,1,53.69451,2,2,0,15.26,0,0,4.96,0,16.25,12.43,10.61,122.43,3,2,0.47,0.14,136.78,3,5.78,9.1,10.68,74.71,19.64,175.5,1,3,72.12,0,0,3.24,0,0,11.68,12.09,13.05,83.35,8,7,0,10,8,0,2,No discomfort experienced,1.7000,7.0900,7.9540,-0.1100,-15.8400,13.2690
127,XR,E,M,35-44,1,2,Yes,4,39.01043,1,19.01082,10,5,3,20,6,2,0.5,0.6,0.8,4,1.555676964428732,5,8,4,4,19.75,144.9908,97.78044749130746,0.3,0.7,0.8,3.4,1.019520951567835,4,3,4,3,26.68,51.00928,83.37384528919948,0.8,0.4,0.7,3.9,1.4386680644632996,4,3,4,2,80.94,101.0072,75.95445927263948,15,10,3,20,8,1,1,62.65495,2,2,0,7.3,0,0,8.88,0,0,2.59,0,92.63,2,2,0,6.31,0,0,11.95,0,27.24,10.73,17.6,141.1,3,2,0,0,87.41,0,0,12.03,0,2.68,20.21,112.51,13,10,8,18,15,2,7,"Mild discomfort (lasted <10 mins, did not affect task completion)",1.7200,7.3200,9.5080,-0.9700,-17.0200,37.0030
128,XR,E,M,45-54,5,4,Yes,4,18.01133,1,10.99905,12,7,3,20,5,0,0.5,0.6,0.8,4.2,1.581915525346075,6,1,2,2,16.24,105.0045,100,0.3,0.7,1,2.6,1.094953889796264,2,4,7,4,98.93,129.0051,91.37768069220063,0.8,0.5,0.7,2.1,1.2294911362002423,1,0,1,2,24.54,31.00353,79.34260147676582,13,5,2,15,14,0,1,29.76848,2,2,0,9.57,0,0,2.68,0,0,6.25,26.36,90.48,1,2,86.59,0,0,3.22,0,0,11.86,9.46,26.13,130.91,3,3,0,0,4.72,0,0,3.86,0,0,310.2,362.66,10,6,0,10,4,0,1,No discomfort experienced,1.7000,6.6900,8.2800,0.7000,-10.8800,17.0830
129,XR,N,M,25-34,3,0,No,4,21.01302,1,23.00147,4,2,3,16,0,5,0.5,0.6,0.8,3.5,1.475522520536984,3,3,3,1,43.33,85.00533,91.0914731095641,0.3,0.7,0.9,2.5,0.9585314248858952,2,3,1,3,39.03,48.99739,87.38992295952318,0.8,0.5,0.9,1.8,1.346182512182659,1,5,1,2,16.22,68.98656,68.74803425636055,13,13,14,7,13,11,1,64.81641,2,2,0,2.91,0,0,2.6,0,0,36.89,0,137.35,3,3,0,0,2.6,0,0,2.18,0,0,276.64,337.87,3,3,0,0,8.22,0,0,9.34,7.54,10.11,8.81,93.83,5,7,1,15,6,4,2,No discomfort experienced,2.6600,9.7800,9.1700,-6.0700,-21.9900,28.1960
130,XR,E,M,45-54,5,4,Yes,4,17.99913,1,12.98702,4,6,8,20,7,7,0.5,0.6,0.8,5,1.663285198213035,0,3,3,1,17.06,67.00671,92.95208558731018,0.3,0.7,1,2.7,1.122891464107139,3,2,1,4,71.49,112.9969,93.41125182467353,0.7,0.4,0.7,3.5,1.2050100584385377,1,1,1,7,87.71,105.0098,86.37106196038941,17,15,12,20,14,6,1,29.555,2,2,0,3.44,0,0,2.96,0,0,1.52,0,105.7,3,1,0,0,150.22,0,0,2.01,78.18,10.51,17.45,221.21,2,2,0,7.45,0,0,7.87,0,0,1.15,0,144.11,15,14,10,12,13,15,4,"Mild discomfort (lasted <10 mins, did not affect task completion)",2.4000,6.0600,8.0230,5.8800,-8.6100,14.7520
131,XR,N,M,25-34,3,0,Yes,4,66.01245,1,12.9858,7,0,0,16,7,1,0.6,0.7,0.8,3.7,2.114551389859224,3,2,2,4,10.75,97.007,79.88052437005535,0.3,0.7,0.9,2.9,1.056078234236446,1,3,2,3,5.46,61.01214,90.3817450856624,0.8,0.4,0.7,2.6,1.1679508157826812,1,3,2,2,2.07,44.99315,88.84698452545959,13,4,1,10,6,0,1,32.30821,2,2,0,6.36,0,0,4.3,0,0,19.27,0,91.95,2,2,0,3.09,0,0,3.74,0,0,11.25,0,84.53,3,3,0,0,10.04,0,0,1.93,0,0,12.42,72.18,11,0,0,17,8,2,1,No discomfort experienced,9.0300,6.3900,7.4980,34.6000,-14.0500,11.2230
132,XR,E,F,25-34,4,1,Yes,4,26.99596,1,38.99718,5,1,0,10,0,0,0.5,0.6,0.8,3.5,1.475522520536984,1,2,8,3,139.49,175.0042,91.0914731095641,0.3,0.7,0.9,3,1.076654289345358,5,3,4,8,82.06,167.0104,89.90075754769505,0.8,0.4,0.7,3.5,1.377154352501186,1,1,1,4,4.4,55.00972,80.75817625170232,14,13,2,12,14,5,1,59.03985,2,2,0,12.64,0,0,6.64,0,0,2.11,0,95.13,2,1,0,93.65,0,4.78,8.81,3.05,14.71,18.81,25.49,144.92,1,3,18.36,0,0,6.89,6.24,6.08,0,0,1.52,77.22,7,14,1,11,13,4,2,"Mild discomfort (lasted <10 mins, did not affect task completion)",2.6600,5.8200,8.7720,-6.0700,-12.3700,31.1450
